,0
0,10694.204152114557
1,8616.663750784766
2,7130.311253834954
3,6538.458123832354
4,6505.018041378758
5,11415.826120223077
6,11040.260604524081
7,8186.416721092683
8,7311.066908487307
9,10891.842305732389
10,10707.793170998504
11,7739.905625481739
12,8881.786099748197
13,8489.98197932075
14,8335.467497800146
15,8840.275088191333
16,9055.21516961492
17,10566.094683912434
18,7065.733488134812
19,11857.667271854561
20,8432.028499038654
21,4440.545133268423
22,7775.458446594702
23,9531.496432012216
24,10249.935030783368
25,10588.057523951524
26,7681.314780365046
27,4865.293010317757
28,4588.427965428184
29,8150.618509437915
30,8535.072595645372
31,5239.604970999406
32,6653.646348511531
33,9112.458897044304
34,11059.939283884612
35,9137.990392569784
36,10956.26304813671
37,10590.700968015837
38,10885.011293450449
39,7312.056957733266
40,10832.693343520938
41,11298.716821407372
42,7969.7987053855195
43,9379.505889282851
44,4149.653864814962
45,8859.805000406936
46,12043.135985840046
47,10970.483079991905
48,8676.236439113165
49,9665.2967388331
50,8794.912286461944
51,7515.386583458132
52,8156.181519573296
53,7451.396653148287
54,5474.72179066434
55,9803.946099155806
56,8082.089834002919
57,7450.3748637778035
58,11328.250250135734
59,7744.069708337693
60,9279.90010598409
61,10788.299225720215
62,7258.292291037904
63,8358.698867158384
64,7965.912434753059
65,10896.944594653609
66,8137.860686163713
67,8684.840505293123
68,9219.116344454627
69,4253.025277266874
70,9737.406149876784
71,6004.688248552469
72,9188.16811316506
73,10965.324112684777
74,9143.685897555317
75,10321.907379216562
76,8366.685665606194
77,9640.36534791182
78,5478.0588548733285
79,9540.519138492331
80,11946.843844146211
81,8550.89958349588
82,12075.03395886791
83,9087.497746340128
84,7633.9447713241625
85,9613.151360850996
86,8875.53127260171
87,9023.410599525972
88,8057.2451694634965
89,9242.809471066348
90,10541.151016544485
91,8849.539028296762
92,10650.110937689531
93,7396.009538642469
94,8052.140277415995
95,10020.668013681676
96,12153.067428941173
97,7530.101576807847
98,12446.229172746802
99,9210.061445545518
100,10746.72385788166
101,9190.411430290233
102,4003.6322673914583
103,10602.269085899892
104,9233.066028407655
105,6925.510823840357
106,9013.752279104738
107,7799.94213448967
108,10081.353814687714
109,9033.593521289238
110,7371.556244619436
111,7906.09611530634
112,11395.795709205702
113,8961.97225503472
114,8496.272841661063
115,9863.427395201123
116,9038.890549961496
117,9521.485239385256
118,6775.507479430719
119,11176.068988376897
120,8628.176378159147
121,8083.024359305518
122,9388.32403498034
123,12162.550842750035
124,9933.325057655513
125,10929.221813120228
126,11690.281165921262
127,10807.266991264762
128,9038.244166167282
129,9182.583236362394
130,10763.89177736532
131,9231.74374233461
132,9099.060448162816
133,11130.115718419056
134,10698.954825703744
135,8030.582466914983
136,8097.629812470983
137,8158.63426865026
138,9194.842241583034
139,7665.348756324773
140,8978.93173608014
141,8520.213549247343
142,10818.874238033715
143,11916.034771823797
144,13238.276691019782
145,8814.237942200887
146,10814.749257264826
147,11165.06120067906
148,10930.220440589601
149,8811.15621931441
150,8175.452180422004
151,9648.920141461156
152,9385.739514256567
153,11780.096731883248
154,9674.460060289573
155,13041.699406775511
156,10668.955058946243
157,11021.22396436516
158,9236.324476814541
159,8936.397185407126
160,9258.189832862356
161,12316.629226490204
162,8863.075007011985
163,9731.220490119013
164,10209.373151552198
165,9222.289172146011
166,8511.746957305846
167,9141.222822716643
168,9789.229100841534
169,11523.555325272544
170,11486.83365231028
171,11402.936525302066
172,9201.646015053684
173,10809.954665896435
174,5989.484565043604
175,11222.358486692632
176,2974.8539120360056
177,10020.595994814466
178,5452.8440444057105
179,9096.820544881917
180,8988.80643014341
181,11662.214302716593
182,7469.906122245995
183,8598.89534376348
184,11851.051212233922
185,11544.690670132517
186,7069.061884410052
187,11417.032034659547
188,10061.587103260243
189,10130.083972536411
190,9380.308275767993
191,7304.566136430034
192,6761.0213420330365
193,9694.327345129783
194,6748.810965758824
195,12004.08425520763
196,10801.066536008166
197,7976.971651857056
198,8882.370734841634
199,11576.705394927845
200,10881.550281061573
201,6788.363263228348
202,8384.68882827443
203,9179.662007508528
204,10693.922102847575
205,8352.679321702199
206,9165.659167710792
207,9883.808355252422
208,8567.551093417433
209,11199.727279525549
210,4165.939382381322
211,10484.219687693798
212,10769.741950674383
213,8603.80279592688
214,8194.8651545635
215,11685.2476515504
216,9117.765412730309
217,11190.67773887503
218,9284.25774551006
219,7572.008662830908
220,8149.293311637792
221,7874.95924832865
222,11101.272376270534
223,7772.626975573501
224,11039.528684717872
225,7651.381289601723
226,8943.34823582457
227,8333.770181325002
228,11378.481834098946
229,5652.811868641057
230,9890.026767429592
231,8953.930939461843
232,9578.351458923906
233,9412.338886485037
234,5163.377939606446
235,7221.716025537638
236,9172.987879090555
237,6854.612074369767
238,8627.491768496071
239,6634.963994630436
240,8146.46475234367
241,9303.978287808832
242,7575.673419733555
243,12363.298981577313
244,9685.576536408389
245,10728.980727470427
246,11434.964190344976
247,7822.960227282394
248,7481.094709149725
249,12033.622519141209
250,8365.437144976402
251,7685.466975507987
252,10760.421755258876
253,10132.735342793289
254,9719.769706174255
255,10803.146880419785
256,10774.122752101463
257,6657.628980245872
